Short Frame	_ws.short
MPLS-TP Fault-Management	mplstp_fm
MPLS-TP Lock-Instruct	mplstp_lock
WebSphere MQ	mq
WebSphere MQ Programmable Command Formats	mqpcf
MQ Telemetry Transport Protocol	mqtt
MQ Telemetry Transport Protocol for Sensor Networks	mqttsn
Media Resource Control Protocol Version 2 (MRCPv2)	mrcpv2
Multicast Router DISCovery protocol	mrdisc
Multiple Mac Registration Protocol	mrp-mmrp
Multiple Stream Reservation Protocol	mrp-msrp
Multiple VLAN Registration Protocol	mrp-mvrp
Multicast Source Discovery Protocol	msdp
Message Pack	msgpack
Microsoft Media Server	msmms
MSNIP: Multicast Source Notification of Interest Protocol	msnip
MS Network Load Balancing	msnlb
MSN Messenger Service	msnms
MS Proxy Protocol	msproxy
MSRCP Protocol	msrcp
Message Session Relay Protocol	msrp
BACnet MS/TP	mstp
Windows Search Protocol	mswsp
Message Transfer Part Level 2	mtp2
Message Transfer Part Level 3	mtp3
Message Transfer Part Level 3 Management	mtp3mg
MUDURL	mudurl
MIME Multipart Media Encapsulation	mime_multipart
MUX27010 Protocol	mux27010
NexusWare C7 MTP	nw_mtp
MySQL Protocol	mysql
Wi-Fi Neighbor Awareness Networking (NAN)	wifi_nan
Nano Cryptocurrency Protocol	nano
Non-Access-Stratum 5GS (NAS)PDU	nas-5gs
Non-Access-Stratum (NAS)PDU	nas-eps
Nasdaq TotalView-ITCH	nasdaq_itch
Nasdaq-SoupTCP version 2.0	nasdaq_soup
NAT Port Mapping Protocol	nat-pmp
Port Control Protocol	portcontrol
3GPP Nb Interface RTP Multiplex	nb_rtpmux
UTRAN Iub interface NBAP signalling	nbap
Network Block Device	nbd
Network-Based IP Flow Mobility	nbifom
NetBIOS over IPX	nbipx
NetBIOS Name Service	nbns
NetBIOS Datagram Service	nbdgm
NetBIOS Session Service	nbss
NetWare Core Protocol	ncp
Novell Cluster Services	ncs
NCSI	ncsi
Network Data Management Protocol	ndmp
Nortel Discovery Protocol	ndp
Novell Distributed Print System	ndps
SPNEGO Extended Negotiation Security Mechanism	negoex
netANALYZER	netanalyzer
NetBIOS	netbios
Netdump Protocol	netdump
Cisco NetFlow/IPFIX	cflow
Linux netlink protocol	netlink
Linux Generic Netlink protocol	genl
Linux net_dm (network drop monitor) protocol	net_dm
Linux netlink netfilter protocol	netlink-netfilter
Linux 802.11 Netlink	nl80211
Linux psample protocol	psample
Linux rtnetlink (route netlink) protocol	netlink-route
Linux netlink sock diag protocol	netlink-sock_diag
Network Monitor Header	netmon_header
Network Monitor Event	netmon_event
Network Monitor Filter	netmon_filter
Network Monitor Network Info	netmon_network_info
Network Monitor System Trace	netmon_system_trace
Network Monitor System Config	netmon_system_config
Network Monitor Process	netmon_process
NetMon 802.11 capture header	netmon_802_11
Netrix Communication Protocol	netrix
Amateur Radio NET/ROM	netrom
Monotone Netsync	netsync
HP-UX Network Tracing and Logging	nettl
Microsoft Exchange New Mail Notification	newmail
Nfapi	nfapi
Linux Netfilter NFLOG	nflog
Network File System	nfs
Unknown NFS	nfs.unknown
SVR4	nfs.svr4
KNFSD_LE	nfs.knfsd_le
NFSD_LE	nfs.nfsd_le
KNFSD_NEW	nfs.knfsd_new
ONTAP_V3	nfs.ontap_v3
ONTAP_V4	nfs.ontap_v4
ONTAP_GX_V3	nfs.ontap_gx_v3
CELERRA_VNX	nfs.celerra_vnx
GLUSTER	nfs.gluster
dCache	nfs.dcache
Primary_Data	nfs.primary_data
Network File System CB	nfs.cb
NFSACL	nfsacl
NFSAUTH	nfsauth
NG Application Protocol	ngap
Netgear Ensemble Protocol	nge
NBMA Next Hop Resolution Protocol	nhrp
NIS+	nisplus
NIS+ Callback	nispluscb
NIST_CSOR	nist_csor
3com Network Jack	njack
Network Lock Manager Protocol	nlm
NetWare Link Services Protocol	nlsp
Novell Modular Authentication Service	nmas
Name Management Protocol over IPX	nmpi
.NET NegotiateStream Protocol	ms-nns
Network News Transfer Protocol	nntp
NOE Protocol	noe
H221NonStandard	h221nonstd
nRF Sniffer for Bluetooth LE	nordic_ble
Negative-acknowledgment Oriented Reliable Multicast	norm
Novell PKIS ASN.1 type	novell_pkis
NetPerfMeter Protocol	netperfmeter
NR Radio Resource Control (RRC) protocol	nr-rrc
NR Positioning Protocol A (NRPPa)	nrppa
NetScaler Trace	ns
NetScape Certificate Extensions	ns_cert_exts
NetScaler HA Protocol	nstrace.ha
NetScaler Metric Exchange Protocol	nstrace.mep
NetScaler RPC Protocol	nstrace.rpc
Network Service Header	nsh
GPRS Network Service	gprs-ns
Juniper Netscreen Redundant Protocol	nsrp
NTLM Secure Service Provider	ntlmssp
Network Time Protocol	ntp
Null/Loopback	null
NVM Express	nvme
NVMe-MI	nvme-mi
NVM Express Fabrics RDMA	nvme-rdma
NVM Express Fabrics TCP	nvme-tcp
Neighborhood Watch Protocol	nwp
NXP 802.15.4 Sniffer Protocol	nxp_802154_sniffer
OAMPDU	oampdu
OBD-II PID	obd-ii
OBEX Protocol	obex
OBEX Raw Application Parameters	obex.parameter.raw
Bluetooth OBEX BPP Application Parameters	obex.parameter.bt.bpp
Bluetooth OBEX BIP Application Parameters	obex.parameter.bt.bip
Bluetooth OBEX MAP Application Parameters	obex.parameter.bt.map
Bluetooth OBEX GPP Application Parameters	obex.parameter.bt.gpp
Bluetooth OBEX CTN Application Parameters	obex.parameter.bt.ctn
Bluetooth OBEX PBAP Application Parameters	obex.parameter.bt.pbap
OCFS2 Networking	ocfs2
Open Control Protocol (OCP.1/AES70)	ocp1
Online Certificate Status Protocol	ocsp
Octet Encoding Rules (ASN.1)	oer
OICQ - IM software, popular in China	oicq
Open IPTV Forum CSPG-CI+	oipf.ciplus
OpenBSD Packet Filter log file, pre 3.4	pflog-old
Optimized Link State Routing Protocol	olsr
ISC Object Management API	omapi
OMRON FINS Protocol	omron
Intel Omni-Path	opa
Intel Omni-Path FE Header - Omni-Path Fabric Executive Header	opa.fe
Intel Omni-Path MAD	opa.mad
Intel Omni-Path SnC - Omni-Path Snoop and Capture MetaData Header	opa.snc
OpenFlow	openflow
OpenFlow 1.0	openflow_v1
OpenFlow 1.3	openflow_v4
OpenFlow 1.4	openflow_v5
OpenFlow 1.5	openflow_v6
openSAFETY	opensafety
openSAFETY over UDP	opensafety_udp
OpenThread	openthread
OpenVPN Protocol	openvpn
OpenWire	openwire
Open Policy Service Interface	opsi
OptoMMP	optommp
Opus Interactive Audio Codec	opus
O-RAN Fronthaul CUS	oran_fh_cus
Open Sound Control Encoding	osc
Object Security for Constrained RESTful Environments	oscore
OSI	osi
PPP OSI Network Layer Control Protocol	osinlcp
Align-NPDU	osinlcp.opt.def_pid
OsmoTRX Data Protocol	osmo_trxd
OsmoTRX Control / Clock Protocol	osmo_trxc
GSM multiplexing for AMR	osmux
Open Shortest Path First	ospf
OSSP	ossp
OUCH	ouch
DCOM OXID Resolver	oxid
X.411 Message Transfer Service	p1
X.411 Message Access Service	p3
X.420 Information Object	p22
Wi-Fi Peer-to-Peer	wifi_p2p
X.413 Message Store Service	p7
STANAG 4406 Message	p772
P_Mul (ACP142)	p_mul
PacketBB Protocol	packetbb
PacketCable AVPs	packetcable_avps
PacketLogger	packetlogger
Port Aggregation Protocol	pagp
Paltalk Messenger Protocol	paltalk
Protocol for carrying Authentication for Network Access	pana
PPP Password Authentication Protocol	pap
Aruba PAPI	papi
Pathport Protocol	pathport
UTRAN Iupc interface Positioning Calculation Application Part (PCAP)	pcap
pcap/pcapng packet data	pcap_pktdata
PCAPNG File Format	file-pcapng
Pcapng block	pcapng
PCAPNG Darwin Process Information Block	pcapng.darwin
Path Computation Element communication Protocol	pcep
Packet Cable Lawful Intercept	pcli
Packet Cable Lawful Intercept (8 byte CCCID)	pcli8
Packet Cable Lawful Intercept (timestamp)	pcli12
Packet Cable Lawful Intercept (timestamp, case ID)	pcli20
PC NFS	pcnfsd
PCOM/TCP	pcomtcp
PCOM ASCII	pcomascii
PCOM BINARY	pcombinary
Performance Co-Pilot	pcp
PDC Protocol	pdc
PDCP-LTE	pdcp-lte
PDCP-NR	pdcp-nr
SDAP	sdap
PDU Transport Protocol	pdu_transport
Protected Extensible Authentication Protocol	peap
AiroPeek/OmniPeek encapsulated IEEE 802.11	peekremote
Packed Encoding Rules (ASN.1 X.691)	per
Packet Forwarding Control Protocol	pfcp
OpenBSD Packet Filter log file	pflog
Pragmatic General Multicast	pgm
PostgreSQL	pgsql
Protocol Independent Multicast	pim
Ping Pong Protocol	pingpongprotocol
Microsoft Windows Lanman Remote API Protocol	lanman
PKCS#1	pkcs-1
PKCS10 Certification Request	pkcs10
PKCS#12: Personal Information Exchange	pkcs12
PKINIT	pkinit
PKIX1Explicit	pkix1explicit
PKIX1Implitit	pkix1implicit
PKIX Attribute Certificate	pkixac
PKIXProxy (RFC3820)	pkixproxy
PKIX Qualified	pkixqualified
PKIX Time Stamp Protocol	pkixtsp
PacketCable Call Content Connection	pkt_ccc
PKTAP packet header	pktap
PacketCable	pktc
PacketCable MTA FQDN	pktc.mtafqdn
Linux Kernel Packet Generator	pktgen
Performance Co-Pilot Proxy	pmproxy
NXP PN532	pn532
NXP PN532 HCI	pn532_hci
Portable Network Graphics	png
Peer Name Resolution Protocol	pnrp
Post Office Protocol	pop
Portmap	portmap
Proprietary PCAP	ppcap
PPI Packet Header	ppi
PPI antenna decoder	ppi_antenna
PPI Geotagging GPS tag decoder	ppi_gps
PPI sensor decoder	ppi_sensor
PPI vector decoder	ppi_vector
Point-to-Point Protocol	ppp
PPP In HDLC-Like Framing	ppp_hdlc
PPP Multiplexing	pppmux
PPPMux Control Protocol	pppmuxcp
Default Protocol ID	pppmuxcp.opt.def_pid
PPP-over-Ethernet	pppoe
PPP-over-Ethernet Discovery	pppoed
PPP-over-Ethernet Session	pppoes
Point-to-Point Tunnelling Protocol	pptp
ISO 8823 OSI Presentation Protocol	pres
ISO 9576-1 OSI Connectionless Presentation Protocol	clpres
Protocol Buffers	protobuf
Protocol Buffers (as JSON Mapping View)	protobuf_json
PROXY Protocol	proxy
Parallel Redundancy Protocol (IEC62439 Part 3)	prp
Precision Time Protocol (IEEE1588)	ptp
Picture Transfer Protocol Over IP	ptpip
PULSE protocol for Linux Virtual Server redundancy	pulse
Parallel Virtual File System	pvfs
MPLS PW ATM N-to-One encapsulation, with CW	mplspwatmn1cw
MPLS PW ATM One-to-One or AAL5 PDU encapsulation	mplspwatm11_or_aal5pdu
MPLS PW ATM AAL5 CPCS-SDU mode encapsulation	mplspwatmaal5sdu
MPLS PW ATM N-to-One encapsulation, no CW	mplspwatmn1nocw
MPLS PW ATM Control Word	mplspwatmcontrolword
MPLS PW ATM Cell Header	mplspwatmcellheader
ATM Cell	mplspwatmcell
CESoPSN basic NxDS0 mode (no RTP support)	pwcesopsn
PW Ethernet Control Word	pwethcw
Ethernet PW (no CW)	pwethnocw
Ethernet PW (CW heuristic)	pwethheuristic
PW Frame Relay DLCI Control Word	pwfr
HDLC PW, FR port mode (no CW)	pw_hdlc_nocw_fr
HDLC-like framing for PPP	pw_hdlc_nocw_hdlc_ppp
Pseudo-Wire OAM	pw_oam
Pseudowire Padding	pw.padding
SAToP	pwsatopcw
H.248 Q.1950 Annex A	h248q1950
Q.2931	q2931
ITU-T Q.708 ISPC Analysis	q708
Q.931	q931
Q.932	q932
Q.932 Operations Service Element	q932.ros
Q.933	q933
Qualified Logical Link Control	qllc
QNX6 QNET LWL4 protocol	lwl4
QNX6 QNET QOS protocol	qos
QNX6 QNET LR protocol	lr
QNX6 QNET KIF protocol	kif
QNX6 QNET Network Resolver protocol	nr
QSIG	qsig
Quake Network Protocol	quake
Quake II Network Protocol	quake2
Quake III Arena Network Protocol	quake3
QuakeWorld Network Protocol	quakeworld
QUIC IETF	quic
R09.x	r09
Assa Abloy R3	r3
IEEE 802.11 Radiotap Capture header	radiotap
RADIUS Protocol	radius
RakNet game networking protocol	raknet
Radio Access Network Application Part	ranap
Raw packet data	raw
Ruby Marshal Object	rbm
DCE/RPC Directory Acl Interface	rdaclif
Remote Device Management	rdm
Remote Desktop Protocol	rdp
RDP clipboard redirection channel Protocol	rdp_cliprdr
RDP Dynamic Channel Protocol	rdp_drdynvc
RDP Graphic pipeline channel Protocol	rdp_egfx
RDP Program virtual channel Protocol	rdp_rail
RDP audio output virtual channel Protocol	rdp_snd
Remote Desktop Protocol Multi-transport	rdpmt
UDP Remote Desktop Protocol	rdpudp
Real Data Transport	rdt
Realtek Layer 2 Protocols	realtek
Realtek Remote Control Protocol	rrcp
Realtek Echo Protocol	rep
Realtek Loop Detection Protocol	rldp
Redback	redback
Redback Lawful Intercept	redbackli
REsource LOcation And Discovery	reload
REsource LOcation And Discovery Framing	reload-framing
DCOM IRemoteActivation	remact
IRemUnknown	remunk
IRemUnknown2	remunk2
DCE DFS Replication Server	rep_proc
REdis Serialization Protocol	resp
Retix Spanning Tree Protocol	r-stp
H.263 RTP Payload header (RFC2190)	rfc2190
RFC 7468 file format	rfc7468
RFtap Protocol	rftap
Router-port Group Management Protocol	rgmp
Riemann	riemann
Routing Information Protocol	rip
RIPng	ripng
Radio Link Control	rlc
RLC-LTE	rlc-lte
RLC-NR	rlc-nr
Redundant Link Management Protocol	rlm
Rlogin Protocol	rlogin
Remote Management Control Protocol	rmcp
Java RMI	rmi
Java Serialization	serialization
HP Remote Maintenance Protocol	rmp
Forward Error Correction (FEC)	rmt-fec
Layered Coding Transport	rmt-lct
UTRAN Iur interface Radio Network Subsystem Application Part	rnsap
RObust Header Compression (ROHC)	rohc
Roofnet Protocol	roofnet
Roon Discovery	roon_disco
X.880 OSI Remote Operations Service	ros
Remote Override interface	roverride
Remote Procedure Call	rpc
Remote Packet Capture	rpcap
RPC over RDMA	rpcordma
RPKI-Router Protocol	rpkirtr
Remote Program Load	rpl
Privilege Server operations	rpriv
Remote Quota	rquota
Radio Resource Control (RRC) protocol	rrc
Radio Resource LCS Protocol (RRLP)	rrlp
DCE/RPC RS_ACCT	rs_acct
Registry Server Attributes Manipulation Interface	rs_attr
DCE/RPC Registry Server Attributes Schema	rs_attr_schema
DCE/RPC RS_BIND	rs_bind
DCE/RPC RS_MISC	rs_misc
DCE Name Service	rs_pgo
DCE/RPC RS_PROP_ACCT	rs_prop_acct
DCE/RPC Registry server propagation interface - ACLs	rs_prop_acl
DCE/RPC Prop Attr	rs_prop_attr
DCE/RPC Registry server propagation interface - PGO items	rs_prop_pgo
DCE/RPC Registry server propagation interface - properties and policies	rs_prop_plcy
DCE/RPC Registry Password Management	rs_pwd_mgmt
Registry server administration operations.	rs_repadm
DCE/RPC Repserver Calls	rs_replist
DCE/RPC Operations between registry server replicas	rs_repmgr
DCE/RPC RS_UNIX	rs_unix
Remote sec_login preauth interface.	rsec_login
Remote Shell	rsh
Realm Specific IP Protocol	rsip
Radio Signalling Link (RSL)	gsm_abis_rsl
RMCP Security-extensions Protocol	rsp
RSTAT	rstat
Remote Shared Virtual Disk	rsvd
Resource ReserVation Protocol (RSVP)	rsvp
Resource ReserVation Protocol (RSVP-E2EI)	rsvp-e2ei
RSYNC File Synchroniser	rsync
RTAC Serial	rtacser
802.1cb R-TAG	rtag
WebRTC Datachannel Protocol	rtcdc
RTcfg	rtcfg
Real-time Transport Control Protocol	rtcp
Secure Real-time Transport Control Protocol	srtcp
RTI TCP Transport Protocol	rtitcp
Real Time Location System	rtls
Real-Time Media Access Control	rtmac
TDMA RTmac Discipline	tdma
Real Time Messaging Protocol	rtmpt
Real-Time Transport Protocol	rtp
RTP Payload for Redundant Audio Data (RFC 2198)	rtp_rfc2198
Real-Time Transport Protocol ED137 Extensions	rtp.ext.ed137
RFC 2833 RTP Event	rtpevent
RFC 4695/6295 RTP-MIDI	rtpmidi
RTPDump file format	rtpdump
Sippy RTPproxy Protocol	rtpproxy
Real-Time Publish-Subscribe Wire Protocol	rtps
Real-Time Publish-Subscribe Wire Protocol (processed)	rtpsproc
Real-Time Publish-Subscribe Virtual Transport	rtpsvt
X.228 OSI Reliable Transfer Service	rtse
Real Time Streaming Protocol	rtsp
UTRAN Iuh interface RUA signalling	rua
Reliable UDP	rudp
Remote Wall protocol	rwall
RX Protocol	rx
S1 Application Protocol	s1ap
STANAG 5066 (SIS layer)	s5066sis
STANAG 5066(DTS layer)	s5066dts
S7 Communication	s7comm
UTRAN IuBC interface SABP signaling	sabp
SADMIND	sadmind
Sametime Protocol	sametime
Session Announcement Protocol	sap
SAP NI Protocol	sapni
SAP Diag Protocol	sapdiag
SAP Enqueue Protocol	sapenqueue
SAP HANA SQL Command Network Protocol	saphdb
SAP Internet Graphic Server	sapigs
SAP Message Server Protocol	sapms
SAP Router Protocol	saprouter
SAP SNC Protocol	sapsnc
Server/Application State Protocol	sasp
SBAS L1 Navigation Message	sbas_l1
Bluetooth SBC Codec	sbc
SBc Application Part	sbcap
SAIA S-Bus	sbus
Signalling Connection Control Part	sccp
Signalling Connection Control Part Management	sccpmg
ZigBee SCoP	scop
SCSI	scsi
SCSI_MMC	scsi_mmc
SCSI_OSD	scsi_osd
SCSI_SBC	scsi_sbc
SCSI_SMC	scsi_smc
SCSI_SSC	scsi_ssc
SCTE-35 Splice Information	scte35
SCTE-35 Private Command	scte35_private_command
SCTE-35 Splice Insert	scte35_si
SCTE-35 Splice Schedule	scte35_splice_schedule
SCTE-35 Time Signal	scte35_time
Stream Control Transmission Protocol	sctp
Scylla RPC protocol	scylla
SDH/SONET Protocol	sdh
Synchronous Data Link Control (SDLC)	sdlc
Session Description Protocol	sdp
SEBEK - Kernel Data Capture	sebek
DCE Security ID Mapper	secidmap
SEL Protocol	selfm
SERCOS III V1.1	siii
ISO 8327-1 OSI Session Protocol	ses
InMon sFlow	sflow
SSH File Transfer Protocol	sftp
SGs Application Part (SGsAP)	sgsap
Secure Host IP Configuration Protocol	shicp
Shim6 Protocol	shim6
Signaling Compression	sigcomp
Decompressed SigComp message as raw text	raw_sigcomp
Signal PDU	signal_pdu
Standard Interface for Multiple Platform Link Evaluation	simple
SIMULCRYPT Protocol	simulcrypt
Session Initiation Protocol	sip
Session Initiation Protocol (SIP as raw text)	raw_sip
Sipfrag	sipfrag
WAP Session Initiation Request	wap-sir
Societe Internationale de Telecommunications Aeronautiques	sita
Skinny Client Control Protocol	skinny
SKYPE	skype
Cisco SLARP	slarp
SliMP3 Communication Protocol	slimp3
Linux cooked-mode capture	sll
Slow Protocols	slow
SoulSeek Protocol	slsk
Cisco Session Management	sm
SMB (Server Message Block Protocol)	smb
SMB2 (Server Message Block Protocol version 2)	smb2
Microsoft Windows Browser Protocol	browser
SMB-Direct (SMB RDMA Transport)	smb_direct
Microsoft Windows Logon Protocol (Old)	smb_netlogon
SMB MailSlot Protocol	mailslot
SMB Pipe Protocol	smb_pipe
Shared Memory Communications	smc
Smart Message Language	sml
Session Multiplex Protocol	smp
Short Message Peer to Peer	smpp
Short Message Relaying Service	smrse
Simple Mail Transfer Protocol	smtp
SNMP Multiplex Protocol	smux
Systems Network Architecture	sna
Systems Network Architecture XID	sna_xid
SNA-over-Ethernet	snaeth
Subnetwork Dependent Convergence Protocol	sndcp
Subnetwork Dependent Convergence Protocol XID	sndcpxid
Simple Network Management Protocol	snmp
Snort Alerts	snort
Controller Area Network	can
Controller Area Network FD	canfd
Socks Protocol	socks
SolarEdge monitoring protocol	solaredge
SOME/IP Protocol	someip
SOME/IP Service Discovery Protocol	someipsd
SoupBinTCP	soupbintcp
SparkplugB	sparkplugb
SPDY	spdy
Spice protocol	spice
Simple Protected Negotiation	spnego
SPNEGO-KRB5	spnego-krb5
Sequenced Packet Protocol	spp
SPRAY	spray
Simple Packet Relay Transport	sprt
H.324/SRP	srp
SRT Protocol	srt
Service Location Protocol	srvloc
SSCF-NNI	sscf-nni
SSCOP	sscop
SSH Protocol	ssh
Scripting Service Protocol	ssp
Novell SecretStore Services	sss
Secure Socket Tunneling Protocol	sstp
State Synchronization Protocol	ssyncp
SMPTE ST2110-20 (Uncompressed Active Video)	st2110_20
STANAG 4607 (GMTI Format)	s4607
StarTeam	starteam
Network Status Monitor Protocol	stat
Network Status Monitor CallBack Protocol	statnotify
Spirent Test Center Signature	stcsig
Steam In-Home Streaming Discovery Protocol	steam_ihs_discovery
Stateless Transport Tunneling	stt
Session Traversal Utilities for NAT	stun
SS7 SCCP-User Adaptation Layer	sua
IEC61850 Sampled Values	sv
swIPe IP Security Protocol	swipe
Symantec Enterprise Firewall	symantec
MBMS synchronisation protocol	sync
Synergy	synergy
IEEE C37.118 Synchrophasor Protocol	synphasor
Sysdig Event	sysdig
MIDI System Exclusive	sysex
MIDI System Exclusive DigiTech	sysex_digitech
Syslog message	syslog
systemd Journal Entry	systemd_journal
GENERIC-CONFERENCE-CONTROL T.124	t124
MULTIPOINT-COMMUNICATION-SERVICE T.125	t125
T.30	t30
T.38	t38
TACACS	tacacs
TACACS+	tacplus
Transport Adapter Layer Interface v1.0, RFC 3094	tali
Trapeze Access Point Access Protocol	tapa
Transaction Capabilities Application Part	tcap
TCG_CP_OIDS	tcg_cp_oids
Transmission Control Protocol	tcp
TCP Option - No-Operation (NOP)	tcp.options.nop
TCP Option - End of Option List (EOL)	tcp.options.eol
TCP Option - Timestamps	tcp.options.timestamp
TCP Option - Maximum segment size	tcp.options.mss
TCP Option - Window scale	tcp.options.wscale
TCP Option - SACK permitted	tcp.options.sack_perm
TCP Option - SACK	tcp.options.sack
TCP Option - Echo	tcp.options.echo
TCP Option - Echo reply	tcp.options.echoreply
TCP Option - CC	tcp.options.cc
TCP Option - CC.NEW	tcp.options.ccnew
TCP Option - CC.ECHO	tcp.options.ccecho
TCP Option - TCP AO	tcp.options.ao
TCP Option - TCP MD5 signature	tcp.options.md5
TCP Option - SCPS capabilities	tcp.options.scps
TCP Option - Selective Negative Acknowledgment	tcp.options.snack
TCP Option - SCPS record boundary	tcp.options.scpsrec
TCP Option - SCPS corruption experienced	tcp.options.scpscor
TCP Option - Quick-Start	tcp.options.qs
TCP Option - User Timeout	tcp.options.user_to
TCP Option - TCP Fast Open	tcp.options.tfo
TCP Option - Accurate ECN	tcp.options.acc_ecn
TCP Option - Riverbed Probe	tcp.options.rvbd.probe
TCP Option - Riverbed Transparency	tcp.options.rvbd.trpy
TCP Option - Experimental	tcp.options.experimental
TCP Option - Unknown	tcp.options.unknown
Multipath Transmission Control Protocol	mptcp
DTN TCP Convergence Layer Protocol	tcpcl
TCPCL Extension Subdissectors	tcpcl_exts
TCP Encapsulation of IPsec Packets	tcpencap
TCP based Robot Operating System protocol (TCPROS)	tcpros
Digium TDMoE Protocol	tdmoe
TDMoP protocol	tdmop
Tabular Data Stream	tds
Tunnel Extensible Authentication Protocol	teap
Technically Enhanced Capture Module Protocol	tecmp
Technically Enhanced Capture Module Protocol Payload	tecmp.payload
TEI Management Procedure, Channel D (LAPD)	tei_management
TEKLINK	teklink
Telkonet powerline	telkonet
Telnet	telnet
Teredo IPv6 over UDP tunneling	teredo
TETRA Protocol	tetra
Line-based text data	data-text-lines
Tinkerforge Protocol	tfp
Trivial File Transfer Protocol	tftp
Thread	thread
Thread Address	thread_address
Thread Beacon	thread_bcn
Thread CoAP	thread_coap
Thread Diagnostics	thread_diagnostic
Thread MeshCoP	thread_meshcop
Thread Network Data	thread_nwd
Thrift Protocol	thrift
Tibia Protocol	tibia
Tagged Image File Format	tiff
Time Protocol	time
Transparent Inter Process Communication(TIPC)	tipc
TiVoConnect Discovery Protocol	tivoconnect
DCE DFS Token Server	tkn4int
Transport Layer Security	tls
TN3270 Protocol	tn3270
TN5250 Protocol	tn5250
Transport-Neutral Encapsulation Format	tnef
Transparent Network Substrate Protocol	tns
Alteon - Transparent Proxy Cache Protocol	tpcp
TPKT - ISO on TCP - RFC1006	tpkt
TPKT Heuristic (for RDP)	tpkt
TP-Link Smart Home Protocol	tplink-smarthome
TPM2.0 Protocol	tpm
AudioCodes TPNCP (TrunkPack Network Control Protocol)	tpncp
Token-Ring	tr
Train Realtime Data Protocol	trdp
TRILL	trill
Token-Ring Media Access Control	trmac
Teamspeak2 Protocol	ts2
TeamSpeak3 DNS	tsdns
Time Synchronization Protocol	tsp
Cisco ttag	ttag
TTEthernet	tte
TTEthernet Protocol Control Frame	tte_pcf
Turbocell Header	turbocell
Turbocell Aggregate Data	turbocell_aggregate
TURN Channel	turnchannel
BEA Tuxedo	tuxedo
TwoWay Active Measurement Test Protocol	twamp.test
TwoWay Active Measurement Control Protocol	twamp.control
One-way Active Measurement Protocol	owamp.test
Tazmen Sniffer Protocol	tzsp
USB 3 Vision	u3v
UA3G Message	ua3g
Universal Alcatel Protocol	ua
UA/SIP Protocol	uasip
USB Attached SCSI	uasp
UA/UDP Encapsulation Protocol	uaudp
UAVCAN/CAN	uavcan_can
Ubiquiti Discovery Protocol	ubdp
Ubertooth	ubertooth
DCE DFS FLDB UBIK TRANSFER	ubikdisk
DCE DFS FLDB UBIKVOTE	ubikvote
Aruba UBT	ubt
UBX Protocol	ubx
GPS L1 Navigation Message	gps_l1
UWB UCI Protocol	uci
Universal Computer Protocol	ucp
Unidirectional Link Detection	udld
User Datagram Protocol	udp
Lightweight User Datagram Protocol	udplite
UDPCP	udpcp
UDP Encapsulation of IPsec Packets	udpencap
Unified Diagnostic Services	uds
UDT Protocol	udt
UDP based FTP w/ multicast	uftp
UDP based FTP w/ multicast V4	uftp4
UDP based FTP w/ multicast V5	uftp5
UHD	uhd
OMA UserPlane Location Protocol	ulp
Unlicensed Mobile Access	uma
MAC	mac
USB	usb
USBPort	usbport
USB Audio	usbaudio
USB Communications and CDC Control	usbcom
USB Device Firmware Upgrade 	usbdfu
USB HID	usbhid
USB HUB	usbhub
X-Rite i1 Display Pro (and derivatives) USB protocol	i1d3
USB Mass Storage Class	usbmsclass
USB Printer	usbprinter
USB Video	usbvideo
USBIP Protocol	usbip
USB Link Layer	usbll
USB Mass Storage	usbms
DLT User	user_dlt
UserLog Protocol	userlog
Unisys Transmittal System	uts
Async data over ISDN (V.120)	v120
V.150.1 State Signaling Event	v150fw
V5.2	v52
V5 Data Link Layer	v5dl
V5 Envelope Function (v5ef)	v5ef
V5.2-User Adaptation Layer	v5ua
VCDU	vcdu
VSI protocol	vdp21
LeCroy VICP	vicp
Banyan Vines ARP	vines_arp
Banyan Vines Echo	vines_echo
Banyan Vines Fragmentation Protocol	vines_frp
Banyan Vines ICP	vines_icp
VINES	vines
Banyan Vines IP	vines_ip
Banyan Vines IPC	vines_ipc
Banyan Vines LLC	vines_llc
Banyan Vines RTP	vines_rtp
Banyan Vines SPP	vines_spp
Van Jacobson PPP compression	vjc
802.1Q Virtual LAN	vlan
VMware Lab Manager	vmlab
VMware - HeartBeat	vmware_hb
Virtual Network Computing	vnc
VN-Tag	vntag
VP8	vp8
VP9	vp9
VPP Dispatch Trace	vpp
VPP Buffer Metadata	vpp-metadata
VPP Buffer Opaque	vpp-opaque
VPP Buffer Opaque2	vpp-opaque2
VPP Buffer Trace	vpp-trace
Virtual Router Redundancy Protocol	vrrp
VITA 49 radio transport protocol	vrt
Video Services over IP	vsip
Vendor Specific Control Protocol	vsncp
PDN Identifier	vsncp.opt.pdnid
Access Point Name	vsncp.opt.apname
PDN Type	vsncp.opt.pdntype
PDN Address	vsncp.opt.pdnaddress
Protocol Configuration Options	vsncp.opt.pco
Error Code	vsncp.opt.errorcode
Attach Type	vsncp.opt.attachtype
IPv4 Default Router Address	vsncp.opt.ipv4address
Address Allocation Cause	vsncp.opt.addressalloc
APN Aggregate Maximum Bit Rate(APN-AMBR)	vsncp.opt.apn_ambr
IPv6 HSGW Link Local Address IID	vsncp.opt.ipv6_hsgw_lla_iid
Vendor Specific Network Protocol	vsnp
vSocket	vsock
VSS Monitoring Ethernet trailer	vssmonitoring
